DATE,CPIAUCSL_NBD20190101
1947-01-01,8.49959
1947-02-01,8.55499
1947-03-01,8.70536
1947-04-01,8.70536
1947-05-01,8.68557
1947-06-01,8.73701
1947-07-01,8.79637
1947-08-01,8.86363
1947-09-01,9.03774
1947-10-01,9.06544
1947-11-01,9.12480
1947-12-01,9.26329
1948-01-01,9.37013
1948-02-01,9.36617
1948-03-01,9.29890
1948-04-01,9.42553
1948-05-01,9.50071
1948-06-01,9.55611
1948-07-01,9.65503
1948-08-01,9.66690
1948-09-01,9.63920
1948-10-01,9.61942
1948-11-01,9.56006
1948-12-01,9.51654
1949-01-01,9.50071
1949-02-01,9.46114
1949-03-01,9.46114
1949-04-01,9.46510
1949-05-01,9.46114
1949-06-01,9.46510
1949-07-01,9.37804
1949-08-01,9.37804
1949-09-01,9.39783
1949-10-01,9.36617
1949-11-01,9.37804
1949-12-01,9.34243
1950-01-01,9.30286
1950-02-01,9.34243
1950-03-01,9.35430
1950-04-01,9.35826
1950-05-01,9.40574
1950-06-01,9.44927
1950-07-01,9.52445
1950-08-01,9.57589
1950-09-01,9.63129
1950-10-01,9.69460
1950-11-01,9.73417
1950-12-01,9.88454
1951-01-01,10.04281
1951-02-01,10.22088
1951-03-01,10.24066
1951-04-01,10.25649
1951-05-01,10.28419
1951-06-01,10.26045
1951-07-01,10.25253
1951-08-01,10.23275
1951-09-01,10.30002
1951-10-01,10.35146
1951-11-01,10.41477
1951-12-01,10.47413
1952-01-01,10.46621
1952-02-01,10.45038
1952-03-01,10.44247
1952-04-01,10.47017
1952-05-01,10.47413
1952-06-01,10.49787
1952-07-01,10.55722
1952-08-01,10.56118
1952-09-01,10.53744
1952-10-01,10.56118
1952-11-01,10.56118
1952-12-01,10.56909
1953-01-01,10.54139
1953-02-01,10.52161
1953-03-01,10.53744
1953-04-01,10.56118
1953-05-01,10.56514
1953-06-01,10.59283
1953-07-01,10.60075
1953-08-01,10.62449
1953-09-01,10.64032
1953-10-01,10.66406
1953-11-01,10.62449
1953-12-01,10.63240
1954-01-01,10.66010
1954-02-01,10.67989
1954-03-01,10.65615
1954-04-01,10.62845
1954-05-01,10.65615
1954-06-01,10.66010
1954-07-01,10.62845
1954-08-01,10.62449
1954-09-01,10.60866
1954-10-01,10.57305
1954-11-01,10.59679
1954-12-01,10.59283
1955-01-01,10.59283
1955-02-01,10.61262
1955-03-01,10.60075
1955-04-01,10.60075
1955-05-01,10.59283
1955-06-01,10.56909
1955-07-01,10.58888
1955-08-01,10.57305
1955-09-01,10.62449
1955-10-01,10.61262
1955-11-01,10.63636
1955-12-01,10.63240
1956-01-01,10.61658
1956-02-01,10.62845
1956-03-01,10.64032
1956-04-01,10.65615
1956-05-01,10.69572
1956-06-01,10.74320
1956-07-01,10.79860
1956-08-01,10.80651
1956-09-01,10.82234
1956-10-01,10.88565
1956-11-01,10.88565
1956-12-01,10.93313
